"Date de début";"Date de fin";"Organisme";"code zas";"Zas";"code site";"nom site";"type d'implantation";"Polluant";"type d'influence";"discriminant";"Réglementaire";"type d'évaluation";"procédure de mesure";"type de valeur";"valeur";"valeur brute";"unité de mesure";"taux de saisie";"couverture temporelle";"couverture de données";"code qualité";"validité"
"2026/09/23 00:00:00";"2026/09/23 01:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"13.6";"13.625";"µg-m3";;;;"A";"1"
"2026/09/23 01:00:00";"2026/09/23 02:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"13.7";"13.7";"µg-m3";;;;"A";"1"
"2026/09/23 02:00:00";"2026/09/23 03:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"16.8";"16.775";"µg-m3";;;;"A";"1"
"2026/09/23 03:00:00";"2026/09/23 04:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"22.5";"22.5";"µg-m3";;;;"A";"1"
"2026/09/23 04:00:00";"2026/09/23 05:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"40.1";"40.1";"µg-m3";;;;"A";"1"
"2026/09/23 05:00:00";"2026/09/23 06:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"60.7";"60.7";"µg-m3";;;;"A";"1"
"2026/09/23 06:00:00";"2026/09/23 07:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"51.4";"51.35";"µg-m3";;;;"A";"1"
"2026/09/23 07:00:00";"2026/09/23 08:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"48.8";"48.8";"µg-m3";;;;"A";"1"
"2026/09/23 08:00:00";"2026/09/23 09:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"50";"49.95";"µg-m3";;;;"A";"1"
"2026/09/23 09:00:00";"2026/09/23 10:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"54.7";"54.725";"µg-m3";;;;"A";"1"
"2026/09/23 10:00:00";"2026/09/23 11:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"41";"41";"µg-m3";;;;"A";"1"
"2026/09/23 11:00:00";"2026/09/23 12:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"18.8";"18.8";"µg-m3";;;;"R";"1"
"2026/09/23 12:00:00";"2026/09/23 13:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"";"";"µg-m3";;;;"N";"-1"
"2026/09/23 13:00:00";"2026/09/23 14:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"";"";"µg-m3";;;;"N";"-1"
"2026/09/23 14:00:00";"2026/09/23 15:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"8.4";"8.35";"µg-m3";;;;"A";"1"
"2026/09/23 15:00:00";"2026/09/23 16:00:00";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx app AC32M";"moyenne horaire brute";"9";"8.95";"µg-m3";;;;"A";"1"
