"Date de début";"Date de fin";"Organisme";"code zas";"Zas";"code site";"nom site";"type d'implantation";"Polluant";"type d'influence";"discriminant";"Réglementaire";"type d'évaluation";"procédure de mesure";"type de valeur";"valeur";"valeur brute";"unité de mesure";"taux de saisie";"couverture temporelle";"couverture de données";"code qualité";"validité"
"2026/09/23 00:00:00";"2026/09/23 01:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"7.3";"7.275";"µg-m3";;;;"A";"1"
"2026/09/23 01:00:00";"2026/09/23 02:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"8.5";"8.475";"µg-m3";;;;"A";"1"
"2026/09/23 02:00:00";"2026/09/23 03:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"6.6";"6.575";"µg-m3";;;;"A";"1"
"2026/09/23 03:00:00";"2026/09/23 04:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"8.5";"8.475";"µg-m3";;;;"A";"1"
"2026/09/23 04:00:00";"2026/09/23 05:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"15";"15.025";"µg-m3";;;;"A";"1"
"2026/09/23 05:00:00";"2026/09/23 06:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"25.2";"25.15";"µg-m3";;;;"A";"1"
"2026/09/23 06:00:00";"2026/09/23 07:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"40";"40";"µg-m3";;;;"A";"1"
"2026/09/23 07:00:00";"2026/09/23 08:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"20.2";"20.2";"µg-m3";;;;"A";"1"
"2026/09/23 08:00:00";"2026/09/23 09:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"9.8";"9.75";"µg-m3";;;;"A";"1"
"2026/09/23 09:00:00";"2026/09/23 10:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"8.5";"8.475";"µg-m3";;;;"A";"1"
"2026/09/23 10:00:00";"2026/09/23 11:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"6.7";"6.725";"µg-m3";;;;"A";"1"
"2026/09/23 11:00:00";"2026/09/23 12:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"6.3";"6.25";"µg-m3";;;;"A";"1"
"2026/09/23 12:00:00";"2026/09/23 13:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"6";"6";"µg-m3";;;;"A";"1"
"2026/09/23 13:00:00";"2026/09/23 14:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"7.2";"7.175";"µg-m3";;;;"A";"1"
"2026/09/23 14:00:00";"2026/09/23 15:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"8.1";"8.125";"µg-m3";;;;"A";"1"
"2026/09/23 15:00:00";"2026/09/23 16:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"6.4";"6.425";"µg-m3";;;;"A";"1"
"2026/09/23 16:00:00";"2026/09/23 17:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"9";"8.95";"µg-m3";;;;"A";"1"
"2026/09/23 17:00:00";"2026/09/23 18:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"29.7";"29.675";"µg-m3";;;;"A";"1"
"2026/09/23 18:00:00";"2026/09/23 19:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"55.1";"55.1";"µg-m3";;;;"A";"1"
"2026/09/23 19:00:00";"2026/09/23 20:00:00";"ATMO GRAND EST";"FR44ZAG03";"ZAG NANCY";"FR30034";"Nancy-Charles III";"Urbaine";"NO2";"Fond";"";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"59.3";"59.325";"µg-m3";;;;"A";"1"
