imb_id;imb_x;imb_y;imb_code;imb_code_insee;imb_nbr_logloc;imb_source;imb_type;addr_code;imb_num;addr_numero;addr_rep;addr_nom_voie;addr_nom_ld;addr_code_insee;addr_nom_commune;addr_id_fantoir;addr_source
23964869;385338.4039173354;5569824.031017017;IMB/48127/X/00M2;48127;1;fo;PA;IMB/48127/X/00M2;0A756;5081;;bertrezes;;48127;Monts-de-Randon;;fo
23748098;361630.13014101627;5557535.442896792;IMB/48005/X/000T;48005;1;fo;PA;IMB/48005/X/000T;ZA83;5064;;la roche;;48005;Antrenas;;fo
22266989;362462.0669889975;5555581.79091947;IMB/48005/X/002F;48005;1;fo;PA;IMB/48005/X/002F;ZK131;5026;;la rouverette;;48005;Antrenas;;fo
23122725;436978.58528238407;5506730.787517376;IMB/48051/X/00J1;48051;1;fo;PA;IMB/48051/X/00J1;;5053;;le ranquet;;48051;Le Collet-de-Dèze;;fo
23486651;409112.53312469553;5524945.283175169;IMB/48116/X/00GB;48116;1;fo;PA;IMB/48116/X/00GB;G897;0;;rue paulin daude;;48116;Pont de Montvert - Sud Mont Lozère;;fo
23487542;363984.5454593032;5496715.18673421;IMB/48176/X/0016;48176;1;fo;PA;IMB/48176/X/0016;1B478;0;;route de la genieysse;;48176;Saint-Pierre-des-Tripiers;;fo
23487553;363992.5838222324;5496749.402363245;IMB/48176/X/007A;48176;1;fo;PA;IMB/48176/X/0016;B478;0;;route de la genieysse;;48176;Saint-Pierre-des-Tripiers;;fo
23487554;363957.90208462375;5496764.895741712;IMB/48176/X/007B;48176;1;fo;PA;IMB/48176/X/0016;B477;0;;route de la genieysse;;48176;Saint-Pierre-des-Tripiers;;fo
23487706;437776.9357104505;5534339.736550753;IMB/48198/X/00TA;48198;1;fo;PA;IMB/48198/X/00TA;AC 0353;0;;rue de la gleysette;;48198;Villefort;;fo
23487563;368656.9443481329;5595354.723011758;IMB/48177/X/0004;48177;1;fo;PA;IMB/48177/X/0004;000D 616 B2;0;;la baraque de claude;;48177;Saint-Pierre-le-Vieux;;fo
23487564;368851.0446698991;5595307.313443549;IMB/48177/X/0003;48177;1;fo;PA;IMB/48177/X/0004;000D 496;0;;la baraque de claude;;48177;Saint-Pierre-le-Vieux;;fo
23487565;368798.49183178914;5595285.616674701;IMB/48177/X/0002;48177;1;fo;PA;IMB/48177/X/0004;000D 613;0;;la baraque de claude;;48177;Saint-Pierre-le-Vieux;;fo
23487566;368700.58867524884;5595416.735231427;IMB/48177/X/0001;48177;1;fo;PA;IMB/48177/X/0004;000D 616 B1;0;;la baraque de claude;;48177;Saint-Pierre-le-Vieux;;fo
23749057;435922.0541622686;5505946.259298844;IMB/48051/X/00JH;48051;2;fo;PA;IMB/48051/X/00JH;;5491;;la borie haute;;48051;Le Collet-de-Dèze;;fo
22280926;402957.74695620505;5519550.15785976;IMB/48050/X/008M;48050;1;fo;PA;IMB/48050/X/008M;A150;0;;la charrière;;48050;Bédouès-Cocurès;;fo
23485672;403104.96722164674;5519591.737112079;IMB/48050/X/0085;48050;1;fo;PA;IMB/48050/X/008M;A105;0;;la charrière;;48050;Bédouès-Cocurès;;fo
23485673;403090.4952535318;5519582.7427682;IMB/48050/X/0086;48050;1;fo;PA;IMB/48050/X/008M;A107;0;;la charrière;;48050;Bédouès-Cocurès;;fo
23485674;403044.2075454466;5519612.535671046;IMB/48050/X/008K;48050;1;fo;PA;IMB/48050/X/008M;A75;0;;la charrière;;48050;Bédouès-Cocurès;;fo
23485755;403062.8632999306;5519620.796455238;IMB/48050/X/0084;48050;1;fo;PA;IMB/48050/X/008M;A71;0;;la charrière;;48050;Bédouès-Cocurès;;fo
24144492;353938.48456511035;5513049.463382357;IMB/48094/X/01ET;48094;1;fo;PA;IMB/48094/X/01ET;LOT 2;69;;rue lous pouzes;;48094;Massegros Causses Gorges;;fo
23749542;434485.7371188496;5509104.6613551;IMB/48152/X/0059;48152;1;fo;PA;IMB/48152/X/0059;;5131;;penens bas;;48152;Ventalon en Cévennes;;fo
23820742;435354.13894257357;5512168.254516869;IMB/48152/X/001M;48152;2;fo;PA;IMB/48152/X/001M;;5115;;l'église;;48152;Ventalon en Cévennes;;fo
23485997;393780.5392202986;5522836.3353519915;IMB/48075/X/00IZ;48075;1;fo;PA;IMB/48075/X/00IZ;B404;0;;rue de l'ayrette;;48075;Ispagnac;;fo
23486050;393843.5668208995;5522834.502877455;IMB/48075/X/009O;48075;1;fo;PA;IMB/48075/X/00IZ;B384;0;;rue de l'ayrette;;48075;Ispagnac;;fo
23485879;376010.7613905433;5553725.780300455;IMB/48068/X/0002;48068;1;fo;PA;IMB/48068/X/0002;0A268;0;;route de cougoussac;;48068;Gabrias;;fo
24144542;425872.2909605938;5582076.162709111;IMB/48105/X/003Q;48105;1;fo;IM;IMB/48105/X/003Q;ZE0097;0;;barrage de naussac;;48105;Naussac-Fontanes;;fo
23820667;430870.5357157714;5575446.191068274;IMB/48080/X/005J;48080;1;fo;PA;IMB/48080/X/005J;;9001;;brugerolles;;48080;Langogne;;fo
22285377;420966.65366350766;5580332.039615766;IMB/48129/X/0003;48129;1;fo;IM;IMB/48129/X/0003;0A0013 B3;0;;chemin de la côte sauvage;;48129;Rocles;;fo
23486784;420943.0892485113;5580357.671021242;IMB/48129/X/0001;48129;1;fo;IM;IMB/48129/X/0003;0A0013 B1;0;;chemin de la côte sauvage;;48129;Rocles;;fo
