imb_id;addr_code;imb_code;code_operateur;code_techno;classe_debit_montant;classe_debit_descendant;limitation;saturation
25887354;48039_0172_00008;fpb_15248940;FREE;4GF;HD3;THD30;0;f
25183350;IMB/48050/X/005Y;IMB/48050/X/005Y;BOUY;FO;THD1G;THD1G;;
25183350;IMB/48050/X/005Y;IMB/48050/X/005Y;FREE;FO;THD1G;THD1G;;
25183350;IMB/48050/X/005Y;IMB/48050/X/005Y;NORN;FO;THD100;THD1G;;
25183350;IMB/48050/X/005Y;IMB/48050/X/005Y;NORN;SAT;BHD8;THD100;0;f
25183350;IMB/48050/X/005Y;IMB/48050/X/005Y;FRTE;FO;THD1G;THD1G;;
25183350;IMB/48050/X/005Y;IMB/48050/X/005Y;FRTE;4GF;HD3;THD30;300;f
25183350;IMB/48050/X/005Y;IMB/48050/X/005Y;SFR0;FO;THD1G;THD1G;;
25183350;IMB/48050/X/005Y;IMB/48050/X/005Y;NUAT;4GF;HD3;THD30;500;f
25183350;IMB/48050/X/005Y;IMB/48050/X/005Y;NUAT;SAT;BHD8;THD100;500;f
25183350;IMB/48050/X/005Y;IMB/48050/X/005Y;MILK;FO;THD1G;THD1G;;
25183350;IMB/48050/X/005Y;IMB/48050/X/005Y;STAK;SAT;BHD8;THD100;1000;f
25183351;IMB/48053/X/00FS;IMB/48053/X/00FS;BOUY;FO;THD1G;THD1G;;
25183351;IMB/48053/X/00FS;IMB/48053/X/00FS;BOUY;4GF;HD3;THD30;0;f
25183351;IMB/48053/X/00FS;IMB/48053/X/00FS;FREE;FO;THD1G;THD1G;;
25183351;IMB/48053/X/00FS;IMB/48053/X/00FS;NORN;FO;THD100;THD1G;;
25183351;IMB/48053/X/00FS;IMB/48053/X/00FS;NORN;SAT;BHD8;THD100;0;f
25183351;IMB/48053/X/00FS;IMB/48053/X/00FS;FRTE;FO;THD1G;THD1G;;
25183351;IMB/48053/X/00FS;IMB/48053/X/00FS;FRTE;4GF;HD3;THD30;300;f
25183351;IMB/48053/X/00FS;IMB/48053/X/00FS;SFR0;FO;THD1G;THD1G;;
25183351;IMB/48053/X/00FS;IMB/48053/X/00FS;NUAT;4GF;HD3;THD30;500;f
25183351;IMB/48053/X/00FS;IMB/48053/X/00FS;NUAT;SAT;BHD8;THD100;500;f
25183351;IMB/48053/X/00FS;IMB/48053/X/00FS;MILK;FO;THD1G;THD1G;;
25183351;IMB/48053/X/00FS;IMB/48053/X/00FS;STAK;SAT;BHD8;THD100;1000;f
