code_insee;nom_com;code_dep;code_reg;nbr;type;date
68190;Lucelle;68;44;60;all;2026-06-30
97301;Régina;973;03;770;all;2026-06-30
80130;Bovelles;80;32;212;all;2026-06-30
57269;Guénange;57;44;3920;all;2026-06-30
11261;Moux;11;76;494;all;2026-06-30
77242;Jutigny;77;11;315;all;2026-06-30
74038;Bogève;74;84;946;all;2026-06-30
69108;Lancié;69;84;639;all;2026-06-30
59146;Chéreng;59;32;1463;all;2026-06-30
79339;Vasles;79;75;1274;all;2026-06-30
80016;Albert;80;32;6303;all;2026-06-30
40156;Liposthey;40;75;332;all;2026-06-30
71112;Château;71;27;191;all;2026-06-30
40216;Ozourt;40;75;111;all;2026-06-30
