acess_duration;average_mos_couple;axis;axis_name;axis_precision;band_serving;band_start;bitrate_dl;bitrate_ul;call_direction;call_number;call_setup_time_to_alerting;call_type;cell_id;crspa;date_time_end;date_time_start;date_start;date_end;download_ok;hour_start;hour_end;descoping;descoping_reason;detail;dialed_number;dl_superior_3mbps;dl_volume;ec_n0;helicopter_measure;id_measure;id_sending_terminal;imei;imsi;insee_com;insee_dep;intra_inter_op_couple;lac;latitude_end;latitude_start;list_mos;loaded_in_less_10_secondes;loaded_in_less_5_secondes;longitude_end;longitude_start;mcc_end;mcc_start;min_mos;min_mos_couple;mnc_end;mnc_start;mos_average;nom_com;nom_dep;nom_reg;operator;operator_called;operator_calling;operator_identical;operating_system;operating_system_version;pci;ping_result;quality_correct;quality_perfect;real_communiation_time;reason_of_failed;result;rscp;rsrp;rsrq;rx_lev;rx_level;rx_qual;protocole;situation;sms_content;sms_delai;sms_reception_date_time;sms_sending_date_time;sms_sending_number;sms_success;tac;techno_end;techno_start;terminal;territory;time_to_call;trace_name;traffic_time;transfert_duration;transfert_file_size;ul_volume;upload_ok;url;video_freez_duration;video_initialisation_duration;video_viewing_duration;zone;zone_name;zone_precision
;;;;;;;27.532;;;;;;;;;09/01/2026 17:32:01.000;;;;;;;;;;;;;;;;;;;;;;;48.87;;;;;2.3;;208;;;;01;;;;;Orange;;;;;;;;;;;;;;;;;;;DOWNLOAD;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;18.146;;;;;;;;;24/01/2026 13:54:41.000;;;;;;;;;;;;;;;;;;;;;;;43.35;;;;;1.81;;208;;;;10;;;;;SFR;;;;;;;;;;;;;;;;;;;DOWNLOAD;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;2.179;;;;;;;;;09/01/2026 18:50:03.000;;;;;;;;;;;;;;;;;;;;;;;49.14;;;;;-0.45;;208;;;;20;;;;;Bouygues;;;;;;;;;;;;;;;;;;;DOWNLOAD;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;51.595;;;;;;;;;14/01/2026 21:43:19.000;;;;;;;;;;;;;;;;;;;;;;;48.47;;;;;2.7;;208;;;;01;;;;;Orange;;;;;;;;;;;;;;;;;;;DOWNLOAD;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;167.945;;;;;;;;;27/01/2026 14:58:47.000;;;;;;;;;;;;;;;;;;;;;;;49.19;;;;;-0.76;;208;;;;01;;;;;Orange;;;;;;;;;;;;;;;;;;;DOWNLOAD;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;149.716;;;;;;;;;31/01/2026 14:21:19.000;;;;;;;;;;;;;;;;;;;;;;;48.64;;;;;2.35;;208;;;;20;;;;;Bouygues;;;;;;;;;;;;;;;;;;;DOWNLOAD;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;227.588;;;;;;;;;20/01/2026 11:38:30.000;;;;;;;;;;;;;;;;;;;;;;;46.18;;;;;6.24;;208;;;;15;;;;;Free;;;;;;;;;;;;;;;;;;;DOWNLOAD;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;224.81;;;;;;;;;27/01/2026 20:26:31.000;;;;;;;;;;;;;;;;;;;;;;;47.92;;;;;-1.86;;208;;;;01;;;;;Orange;;;;;;;;;;;;;;;;;;;DOWNLOAD;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;586.678;;;;;;;;;14/01/2026 22:56:08.000;;;;;;;;;;;;;;;;;;;;;;;48.73;;;;;4.6;;208;;;;01;;;;;Orange;;;;;;;;;;;;;;;;;;;DOWNLOAD;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;194.083;;;;;;;;;10/01/2026 15:12:43.000;;;;;;;;;;;;;;;;;;;;;;;48.84;;;;;2.25;;208;;;;01;;;;;Orange;;;;;;;;;;;;;;;;;;;DOWNLOAD;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;137.037;;;;;;;;;19/01/2026 14:46:14.000;;;;;;;;;;;;;;;;;;;;;;;43.63;;;;;3.85;;208;;;;15;;;;;Free;;;;;;;;;;;;;;;;;;;DOWNLOAD;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;15.639;;;;;;;;;04/01/2026 18:30:56.000;;;;;;;;;;;;;;;;;;;;;;;47.47;;;;;-1.7;;208;;;;20;;;;;Bouygues;;;;;;;;;;;;;;;;;;;DOWNLOAD;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;360.104;;;;;;;;;09/01/2026 12:38:03.000;;;;;;;;;;;;;;;;;;;;;;;48.82;;;;;2.36;;208;;;;15;;;;;Free;;;;;;;;;;;;;;;;;;;DOWNLOAD;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;435.076;;;;;;;;;06/01/2026 20:45:54.000;;;;;;;;;;;;;;;;;;;;;;;43.17;;;;;6.05;;208;;;;20;;;;;Bouygues;;;;;;;;;;;;;;;;;;;DOWNLOAD;;;;;;;;;;;;;;;;;;;;;;;;;;
