acess_duration;average_mos_couple;axis;axis_name;axis_precision;band_serving;band_start;bitrate_dl;bitrate_ul;call_direction;call_number;call_setup_time_to_alerting;call_type;cell_id;crspa;date_time_end;date_time_start;date_start;date_end;download_ok;hour_start;hour_end;descoping;descoping_reason;detail;dialed_number;dl_superior_3mbps;dl_volume;ec_n0;helicopter_measure;id_measure;id_sending_terminal;imei;imsi;insee_com;insee_dep;intra_inter_op_couple;lac;latitude_end;latitude_start;list_mos;loaded_in_less_10_secondes;loaded_in_less_5_secondes;longitude_end;longitude_start;mcc_end;mcc_start;min_mos;min_mos_couple;mnc_end;mnc_start;mos_average;nom_com;nom_dep;nom_reg;operator;operator_called;operator_calling;operator_identical;operating_system;operating_system_version;pci;ping_result;quality_correct;quality_perfect;real_communiation_time;reason_of_failed;result;rscp;rsrp;rsrq;rx_lev;rx_level;rx_qual;protocole;situation;sms_content;sms_delai;sms_reception_date_time;sms_sending_date_time;sms_sending_number;sms_success;tac;techno_end;techno_start;terminal;territory;time_to_call;trace_name;traffic_time;transfert_duration;transfert_file_size;ul_volume;upload_ok;url;video_freez_duration;video_initialisation_duration;video_viewing_duration;zone;zone_name;zone_precision;;Result
2,64;;;;;;;;;;;;;;;;;23/06/2025;;;10:29:02;;;;;;;;;;;;;;40088;;;;;43.7196;;1;1;;-1.05023;;208;;;;10;;;;;SFR;;;;;;;;;;;;;;-101.24;-12.47;;;;WEB;Incar;;;;;;;;;5G;SM-F731B;METROPOLE;;;;;;;;https://www.assurance-maladie.ameli.fr/qui-sommes-nous;;;;Zones intermediaires;Dax;;;Success
2,45;;;;;;;;;;;;;;;;;23/06/2025;;;10:29:02;;;;;;;;;;;;;;40088;;;;;43.7196;;1;1;;-1.05023;;208;;;;20;;;;;Bouygues;;;;;;;;;;;;;;-101.43;-10.93;;;;WEB;Incar;;;;;;;;;5G;SM-F731B;METROPOLE;;;;;;;;https://www.assurance-maladie.ameli.fr/qui-sommes-nous;;;;Zones intermediaires;Dax;;;Success
2,48;;;;;;;;;;;;;;;;;23/06/2025;;;10:29:02;;;;;;;;;;;;;;40088;;;;;43.7196;;1;1;;-1.05023;;208;;;;1;;;;;Orange;;;;;;;;;;;;;;-113.51;-14.95;;;;WEB;Incar;;;;;;;;;5G;SM-F731B;METROPOLE;;;;;;;;https://www.assurance-maladie.ameli.fr/qui-sommes-nous;;;;Zones intermediaires;Dax;;;Success
2,25;;;;;;;;;;;;;;;;;23/06/2025;;;10:29:02;;;;;;;;;;;;;;40088;;;;;43.7196;;1;1;;-1.05023;;208;;;;15;;;;;Free;;;;;;;;;;;;;;-103.80;-12.88;;;;WEB;Incar;;;;;;;;;5G;SM-F731B;METROPOLE;;;;;;;;https://www.assurance-maladie.ameli.fr/qui-sommes-nous;;;;Zones intermediaires;Dax;;;Success
3,41;;;;;;;;;;;;;;;;;23/06/2025;;;10:29:15;;;;;;;;;;;;;;40088;;;;;43.7196;;1;1;;-1.05023;;208;;;;15;;;;;Free;;;;;;;;;;;;;;-104.91;-11.79;;;;WEB;Incar;;;;;;;;;5G;SM-F731B;METROPOLE;;;;;;;;https://www.doctolib.fr/;;;;Zones intermediaires;Dax;;;Success
2,4;;;;;;;;;;;;;;;;;23/06/2025;;;10:29:15;;;;;;;;;;;;;;40088;;;;;43.7196;;1;1;;-1.05023;;208;;;;20;;;;;Bouygues;;;;;;;;;;;;;;-101.72;-9.93;;;;WEB;Incar;;;;;;;;;5G;SM-F731B;METROPOLE;;;;;;;;https://www.doctolib.fr/;;;;Zones intermediaires;Dax;;;Success
2,66;;;;;;;;;;;;;;;;;23/06/2025;;;10:29:15;;;;;;;;;;;;;;40088;;;;;43.7196;;1;1;;-1.05023;;208;;;;1;;;;;Orange;;;;;;;;;;;;;;-111.38;-13.52;;;;WEB;Incar;;;;;;;;;5G;SM-F731B;METROPOLE;;;;;;;;https://www.doctolib.fr/;;;;Zones intermediaires;Dax;;;Success
2,7;;;;;;;;;;;;;;;;;23/06/2025;;;10:29:15;;;;;;;;;;;;;;40088;;;;;43.7196;;1;1;;-1.05023;;208;;;;10;;;;;SFR;;;;;;;;;;;;;;-103.13;-12.27;;;;WEB;Incar;;;;;;;;;5G;SM-F731B;METROPOLE;;;;;;;;https://www.doctolib.fr/;;;;Zones intermediaires;Dax;;;Success
2,37;;;;;;;;;;;;;;;;;23/06/2025;;;10:29:27;;;;;;;;;;;;;;40088;;;;;43.7196;;1;1;;-1.05023;;208;;;;20;;;;;Bouygues;;;;;;;;;;;;;;-100.69;-10.84;;;;WEB;Incar;;;;;;;;;5G;SM-F731B;METROPOLE;;;;;;;;https://www.ouest-france.fr;;;;Zones intermediaires;Dax;;;Success
2,41;;;;;;;;;;;;;;;;;23/06/2025;;;10:29:28;;;;;;;;;;;;;;40088;;;;;43.7196;;1;1;;-1.05023;;208;;;;1;;;;;Orange;;;;;;;;;;;;;;-111.24;-13.68;;;;WEB;Incar;;;;;;;;;5G;SM-F731B;METROPOLE;;;;;;;;https://www.ouest-france.fr;;;;Zones intermediaires;Dax;;;Success
