acess_duration;average_mos_couple;axis;axis_name;axis_precision;band_serving;band_start;bitrate_dl;bitrate_ul;call_direction;call_number;call_setup_time_to_alerting;call_type;cell_id;crspa;date_time_end;date_time_start;date_start;date_end;download_ok;hour_start;hour_end;descoping;descoping_reason;detail;dialed_number;dl_superior_3mbps;dl_volume;ec_n0;helicopter_measure;id_measure;id_sending_terminal;imei;imsi;insee_com;insee_dep;intra_inter_op_couple;lac;latitude_end;latitude_start;list_mos;loaded_in_less_10_secondes;loaded_in_less_5_secondes;longitude_end;longitude_start;mcc_end;mcc_start;min_mos;min_mos_couple;mnc_end;mnc_start;mos_average;nom_com;nom_dep;nom_reg;operator;operator_called;operator_calling;operator_identical;operating_system;operating_system_version;pci;ping_result;quality_correct;quality_perfect;real_communiation_time;reason_of_failed;result;rscp;rsrp;rsrq;rx_lev;rx_level;rx_qual;protocole;situation;sms_content;sms_delai;sms_reception_date_time;sms_sending_date_time;sms_sending_number;sms_success;tac;techno_end;techno_start;terminal;territory;time_to_call;trace_name;traffic_time;transfert_duration;transfert_file_size;ul_volume;upload_ok;url;video_freez_duration;video_initialisation_duration;video_viewing_duration;zone;zone_name;zone_precision
;;;;;;;;;sortant;;;Orange-Orange;;1;;;23/06/2025;23/06/2025;;10:29:06;10:31:18;;;;;;;;;;;;;40088;40;;;;43.7196;;;;;-1.05023;;208;4.6;4.6;;1;4.62;;;;Orange;;;INTRA;Android 14 (Upside Down Cake);;;;;;120;;;;-107.45;;;;;VOIX;INCAR;;;;;;;;;;Samsung Galaxy Z Flip 5;METROPOLE;7.39;;;;;;;;;;;zones intermediaires;Dax;
;;;;;;;;;sortant;;;SFR-SFR;;1;;;23/06/2025;23/06/2025;;10:29:06;10:31:18;;;;;;;;;;;;;40088;40;;;;43.7196;;;;;-1.05023;;208;4.6;4.07;;10;4.57;;;;SFR;;;INTRA;Android 14 (Upside Down Cake);;;;;;120;;;;-98.56;;;;;VOIX;INCAR;;;;;;;;;;Samsung Galaxy Z Flip 5;METROPOLE;7.03;;;;;;;;;;;zones intermediaires;Dax;
;;;;;;;;;sortant;;;Bouygues-Bouygues;;1;;;23/06/2025;23/06/2025;;10:29:06;10:31:18;;;;;;;;;;;;;40088;40;;;;43.7196;;;;;-1.05023;;208;4.54;4.15;;20;4.58;;;;Bouygues;;;INTRA;Android 14 (Upside Down Cake);;;;;;120;;;;-96.23;;;;;VOIX;INCAR;;;;;;;;;;Samsung Galaxy Z Flip 5;METROPOLE;7.36;;;;;;;;;;;zones intermediaires;Dax;
;;;;;;;;;sortant;;;FRE-FRE;;1;;;23/06/2025;23/06/2025;;10:29:06;10:31:17;;;;;;;;;;;;;40088;40;;;;43.7196;;;;;-1.05023;;208;4.48;4.48;;15;4.62;;;;Free;;;INTRA;Android 14 (Upside Down Cake);;;;;;120;;;;-97.11;;;;;VOIX;INCAR;;;;;;;;;;Samsung Galaxy Z Flip 5;METROPOLE;6.35;;;;;;;;;;;zones intermediaires;Dax;
;;;;;;;;;entrant;;;Orange-Orange;;1;;;23/06/2025;23/06/2025;;10:29:08;10:31:18;;;;;;;;;;;;;40088;40;;;;43.7196;;;;;-1.05023;;208;4.61;4.6;;1;4.62;;;;Orange;;;INTRA;Android 14 (Upside Down Cake);;;;;;120;;;;-103.63;;;;;VOIX;INCAR;;;;;;;;;;Samsung Galaxy Z Flip 5;METROPOLE;5.31;;;;;;;;;;;zones intermediaires;Dax;
;;;;;;;;;entrant;;;SFR-SFR;;1;;;23/06/2025;23/06/2025;;10:29:08;10:31:18;;;;;;;;;;;;;40088;40;;;;43.7196;;;;;-1.05023;;208;4.07;4.07;;10;4.57;;;;SFR;;;INTRA;Android 14 (Upside Down Cake);;;;;;120;;;;-99.67;;;;;VOIX;INCAR;;;;;;;;;;Samsung Galaxy Z Flip 5;METROPOLE;4.97;;;;;;;;;;;zones intermediaires;Dax;
;;;;;;;;;entrant;;;Bouygues-Bouygues;;1;;;23/06/2025;23/06/2025;;10:29:08;10:31:18;;;;;;;;;;;;;40088;40;;;;43.7196;;;;;-1.05023;;208;4.15;4.15;;20;4.58;;;;Bouygues;;;INTRA;Android 14 (Upside Down Cake);;;;;;120;;;;-96.61;;;;;VOIX;INCAR;;;;;;;;;;Samsung Galaxy Z Flip 5;METROPOLE;5.26;;;;;;;;;;;zones intermediaires;Dax;
;;;;;;;;;entrant;;;FRE-FRE;;1;;;23/06/2025;23/06/2025;;10:29:08;10:31:17;;;;;;;;;;;;;40088;40;;;;43.7196;;;;;-1.05023;;208;4.64;4.48;;15;4.62;;;;Free;;;INTRA;Android 14 (Upside Down Cake);;;;;;120;;;;-100.73;;;;;VOIX;INCAR;;;;;;;;;;Samsung Galaxy Z Flip 5;METROPOLE;4.73;;;;;;;;;;;zones intermediaires;Dax;
;;;;;;;;;envoi;;;Orange-Orange;;;;;23/06/2025;23/06/2025;;10:31:49;10:31:53;;;;;;;;;;;;;40088;40;;;;43.72008;;;;;-1.0513;;208;;;;1;;;;;Orange;;;INTRA;Android 14 (Upside Down Cake);;;;;;2;;;;-108.3;;;;;SMS;INCAR;;01.3;;;;1;;;;Samsung Galaxy Z Flip 5;METROPOLE;;;;;;;;;;;;zones intermediaires;Dax;
;;;;;;;;;envoi;;;SFR-SFR;;;;;23/06/2025;23/06/2025;;10:31:49;10:31:53;;;;;;;;;;;;;40088;40;;;;43.72008;;;;;-1.0513;;208;;;;10;;;;;SFR;;;INTRA;Android 14 (Upside Down Cake);;;;;;2;;;;-105.85;;;;;SMS;INCAR;;01.4;;;;1;;;;Samsung Galaxy Z Flip 5;METROPOLE;;;;;;;;;;;;zones intermediaires;Dax;
