code_op;nom_op;num_site;id_site_partage;id_station_anfr;x;y;latitude;longitude;nom_reg;nom_dep;insee_dep;nom_com;insee_com;site_2g;site_3g;site_4g;site_5g;mes_4g_trim;site_ZB;site_DCC;site_strategique;site_capa_240mbps;date_ouverturecommerciale_5g;site_5g_700_m_hz;site_5g_800_m_hz;site_5g_1800_m_hz;site_5g_2100_m_hz;site_5g_3500_m_hz
20801;Orange;00000001A1;;0802290015;687035;6985761;49,97028;2,81944;Hauts-de-France;Somme;80;Curlu;80231;1;1;1;1;0;0;0;0;1;2025-02-10T00:00:00Z;0;0;0;1;0
20801;Orange;00000001B1;;0642290151;422853;6249263;43,28861;-0,41389;Nouvelle-Aquitaine;Pyrénées-Atlantiques;64;Jurançon;64284;1;1;1;1;0;0;0;0;1;2025-04-03T00:00:00Z;1;0;0;0;1
20801;Orange;00000001B2;;0332290026;416932;6422196;44,84112;-0,58333;Nouvelle-Aquitaine;Gironde;33;Bordeaux;33063;1;1;1;1;0;0;0;0;1;2021-02-22T00:00:00Z;1;0;0;0;1
20801;Orange;00000001B3;;0472290005;511106;6349234;44,21666;0,63556;Nouvelle-Aquitaine;Lot-et-Garonne;47;Agen;47001;0;1;1;1;0;0;0;0;1;2024-06-06T00:00:00Z;1;0;0;0;1
20801;Orange;00000001C1;;0512290147;836824;6889450;49,09028;4,87333;Grand Est;Marne;51;Sainte-Menehould;51507;1;1;1;1;0;0;0;0;1;2025-11-20T00:00:00Z;1;0;0;0;0
20801;Orange;00000001D1;;0632290004;746435;6527622;45,84667;3,59833;Auvergne-Rhône-Alpes;Puy-de-Dôme;63;Celles-sur-Durolle;63066;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000001E1;;0212290007;853303;6692984;47,31945;5,02973;Bourgogne-Franche-Comté;Côte-d'Or;21;Dijon;21231;1;1;1;1;0;0;0;0;1;2021-03-31T00:00:00Z;1;0;0;0;1
20801;Orange;00000001F3;;0592290571;705996;7030076;50,36834;3,08416;Hauts-de-France;Nord;59;Douai;59178;1;1;1;1;0;0;0;0;1;2020-12-08T00:00:00Z;1;0;0;0;1
20801;Orange;00000001F4;;0592290031;704232;7059566;50,63305;3,05972;Hauts-de-France;Nord;59;Lille;59350;1;1;1;1;0;0;0;0;1;2021-07-13T00:00:00Z;1;0;0;0;1
20801;Orange;00000001F5;;0622290020;698300;7037839;50,43805;2,97611;Hauts-de-France;Pas-de-Calais;62;Dourges;62274;1;1;1;1;0;0;0;0;1;2022-01-21T00:00:00Z;1;0;0;0;1
20801;Orange;00000001G1;;0232290001;581788;6572089;46,23833;1,46583;Nouvelle-Aquitaine;Creuse;23;La Souterraine;23176;1;1;1;1;0;0;0;0;1;2023-11-16T00:00:00Z;1;0;0;0;1
20801;Orange;00000001H1;;0732290021;928199;6502711;45,58584;5,92722;Auvergne-Rhône-Alpes;Savoie;73;Chambéry;73065;1;1;1;1;0;0;0;0;1;2023-08-03T00:00:00Z;1;0;0;0;1
20801;Orange;00000001H5;;0382290010;914989;6458063;45,18833;5,73806;Auvergne-Rhône-Alpes;Isère;38;Grenoble;38185;1;1;1;1;0;0;0;0;1;2021-03-15T00:00:00Z;1;0;0;0;1
20801;Orange;00000001H7;;0262290005;847415;6453249;45,16278;4,87639;Auvergne-Rhône-Alpes;Drôme;26;Saint-Barthélemy-de-Vals;26295;1;1;1;1;0;0;0;0;1;2024-03-12T00:00:00Z;1;0;0;0;1
