identifiant_insee,nom,type_entite,indicateur_id,type_ind,horizon,label,ref,low,median,high
54395,Nancy,commune,G1,saisonnier,2030,hiver,2.1,3.0,3.5,3.9
54395,Nancy,commune,G1,saisonnier,2030,printemps,9.7,10.3,10.8,11.3
54395,Nancy,commune,G1,saisonnier,2030,été,18.4,19.2,19.9,20.4
54395,Nancy,commune,G1,saisonnier,2030,automne,10.0,11.2,11.6,12.1
54395,Nancy,commune,G1,saisonnier,2050,hiver,2.1,3.7,4.2,5.0
54395,Nancy,commune,G1,saisonnier,2050,printemps,9.7,10.8,11.1,11.9
54395,Nancy,commune,G1,saisonnier,2050,été,18.4,20.4,20.9,21.4
54395,Nancy,commune,G1,saisonnier,2050,automne,10.0,11.9,12.4,12.7
54395,Nancy,commune,G1,saisonnier,2100,hiver,2.1,4.4,5.3,6.0
54395,Nancy,commune,G1,saisonnier,2100,printemps,9.7,12.0,12.6,13.2
54395,Nancy,commune,G1,saisonnier,2100,été,18.4,21.9,22.3,23.1
54395,Nancy,commune,G1,saisonnier,2100,automne,10.0,13.3,13.7,14.1
54395,Nancy,commune,G2,annuel,2030,,64,43,47,51
54395,Nancy,commune,G2,annuel,2050,,64,33,40,45
54395,Nancy,commune,G2,annuel,2100,,64,20,28,39
54395,Nancy,commune,G3,saisonnier,2030,hiver,209,212,248,261
54395,Nancy,commune,G3,saisonnier,2030,printemps,187,179,194,218
54395,Nancy,commune,G3,saisonnier,2030,été,200,159,191,225
54395,Nancy,commune,G3,saisonnier,2030,automne,210,200,224,255
54395,Nancy,commune,G3,saisonnier,2050,hiver,209,221,249,292
54395,Nancy,commune,G3,saisonnier,2050,printemps,187,171,202,229
54395,Nancy,commune,G3,saisonnier,2050,été,200,166,197,225
54395,Nancy,commune,G3,saisonnier,2050,automne,210,199,214,250
54395,Nancy,commune,G3,saisonnier,2100,hiver,209,224,258,334
54395,Nancy,commune,G3,saisonnier,2100,printemps,187,186,204,233
54395,Nancy,commune,G3,saisonnier,2100,été,200,140,174,221
54395,Nancy,commune,G3,saisonnier,2100,automne,210,187,221,251
54395,Nancy,commune,G4,saisonnier,2030,hiver,36,35,38,41
54395,Nancy,commune,G4,saisonnier,2030,printemps,34,32,35,39
54395,Nancy,commune,G4,saisonnier,2030,été,33,28,31,34
54395,Nancy,commune,G4,saisonnier,2030,automne,32,29,32,35
54395,Nancy,commune,G4,saisonnier,2050,hiver,36,36,38,44
54395,Nancy,commune,G4,saisonnier,2050,printemps,34,32,35,38
54395,Nancy,commune,G4,saisonnier,2050,été,33,27,31,33
54395,Nancy,commune,G4,saisonnier,2050,automne,32,28,30,33
54395,Nancy,commune,G4,saisonnier,2100,hiver,36,34,39,44
54395,Nancy,commune,G4,saisonnier,2100,printemps,34,31,34,37
54395,Nancy,commune,G4,saisonnier,2100,été,33,20,27,31
54395,Nancy,commune,G4,saisonnier,2100,automne,32,25,29,32
54395,Nancy,commune,R1,saisonnier,2030,hiver,1,1,1,2
54395,Nancy,commune,R1,saisonnier,2030,printemps,1,0,1,1
54395,Nancy,commune,R1,saisonnier,2030,été,1,1,1,2
54395,Nancy,commune,R1,saisonnier,2030,automne,1,1,2,2
