identifiant_insee,nom,type_entite,indicateur_id,type_ind,horizon,label,ref,low,median,high
75056,Paris,commune,G1,saisonnier,2030,hiver,5.3,6.0,6.3,6.8
75056,Paris,commune,G1,saisonnier,2030,printemps,11.8,12.3,12.7,13.3
75056,Paris,commune,G1,saisonnier,2030,été,19.9,20.6,21.2,21.9
75056,Paris,commune,G1,saisonnier,2030,automne,12.7,13.8,14.0,14.4
75056,Paris,commune,G1,saisonnier,2050,hiver,5.3,6.5,6.9,7.6
75056,Paris,commune,G1,saisonnier,2050,printemps,11.8,12.7,13.1,13.8
75056,Paris,commune,G1,saisonnier,2050,été,19.9,21.7,22.2,22.6
75056,Paris,commune,G1,saisonnier,2050,automne,12.7,14.3,14.8,15.1
75056,Paris,commune,G1,saisonnier,2100,hiver,5.3,7.1,7.9,8.5
75056,Paris,commune,G1,saisonnier,2100,printemps,11.8,13.7,14.4,15
75056,Paris,commune,G1,saisonnier,2100,été,19.9,22.9,23.6,24.2
75056,Paris,commune,G1,saisonnier,2100,automne,12.7,15.6,15.9,16.5
75056,Paris,commune,G2,annuel,2030,,21,10,13,14
75056,Paris,commune,G2,annuel,2050,,21,7,10,12
75056,Paris,commune,G2,annuel,2100,,21,4,6,12
75056,Paris,commune,G3,saisonnier,2030,hiver,143,144,163,176
75056,Paris,commune,G3,saisonnier,2030,printemps,152,143,159,186
75056,Paris,commune,G3,saisonnier,2030,été,163,135,158,185
75056,Paris,commune,G3,saisonnier,2030,automne,144,132,146,162
75056,Paris,commune,G3,saisonnier,2050,hiver,143,149,168,185
75056,Paris,commune,G3,saisonnier,2050,printemps,152,146,164,190
75056,Paris,commune,G3,saisonnier,2050,été,163,134,155,183
75056,Paris,commune,G3,saisonnier,2050,automne,144,131,143,167
75056,Paris,commune,G3,saisonnier,2100,hiver,143,145,173,226
75056,Paris,commune,G3,saisonnier,2100,printemps,152,150,170,200
75056,Paris,commune,G3,saisonnier,2100,été,163,110,143,191
75056,Paris,commune,G3,saisonnier,2100,automne,144,133,148,171
75056,Paris,commune,G4,saisonnier,2030,hiver,30,29,32,33
75056,Paris,commune,G4,saisonnier,2030,printemps,28,27,28,31
75056,Paris,commune,G4,saisonnier,2030,été,25,20,23,25
75056,Paris,commune,G4,saisonnier,2030,automne,27,25,26,29
75056,Paris,commune,G4,saisonnier,2050,hiver,30,30,32,35
75056,Paris,commune,G4,saisonnier,2050,printemps,28,26,29,31
75056,Paris,commune,G4,saisonnier,2050,été,25,17,22,24
75056,Paris,commune,G4,saisonnier,2050,automne,27,24,26,29
75056,Paris,commune,G4,saisonnier,2100,hiver,30,28,31,35
75056,Paris,commune,G4,saisonnier,2100,printemps,28,27,28,30
75056,Paris,commune,G4,saisonnier,2100,été,25,15,19,24
75056,Paris,commune,G4,saisonnier,2100,automne,27,22,25,28
75056,Paris,commune,R1,saisonnier,2030,hiver,0,0,0,1
75056,Paris,commune,R1,saisonnier,2030,printemps,0,0,1,1
75056,Paris,commune,R1,saisonnier,2030,été,1,1,1,2
75056,Paris,commune,R1,saisonnier,2030,automne,1,0,1,1
75056,Paris,commune,R1,saisonnier,2050,hiver,0,0,0,1
75056,Paris,commune,R1,saisonnier,2050,printemps,0,1,1,1
75056,Paris,commune,R1,saisonnier,2050,été,1,1,2,2
75056,Paris,commune,R1,saisonnier,2050,automne,1,0,1,1
75056,Paris,commune,R1,saisonnier,2100,hiver,0,0,1,1
75056,Paris,commune,R1,saisonnier,2100,printemps,0,0,1,2
75056,Paris,commune,R1,saisonnier,2100,été,1,1,2,2
75056,Paris,commune,R1,saisonnier,2100,automne,1,0,1,1
75056,Paris,commune,R2,annuel,2030,,18,17,19,20
75056,Paris,commune,R2,annuel,2050,,18,19,20,21
75056,Paris,commune,R2,annuel,2100,,18,19,20,23
75056,Paris,commune,R4,annuel,2030,,2,1,3,8
75056,Paris,commune,R4,annuel,2050,,2,1,8,10
75056,Paris,commune,R4,annuel,2100,,2,3,9,18
75056,Paris,commune,R5,saisonnier,2030,hiver,1,0,0,5
75056,Paris,commune,R5,saisonnier,2030,printemps,4,2,5,8
75056,Paris,commune,R5,saisonnier,2030,été,52,43,57,71
75056,Paris,commune,R5,saisonnier,2030,automne,42,40,48,64
75056,Paris,commune,R5,saisonnier,2050,hiver,1,0,1,4
75056,Paris,commune,R5,saisonnier,2050,printemps,4,4,6,8
75056,Paris,commune,R5,saisonnier,2050,été,52,45,57,71
75056,Paris,commune,R5,saisonnier,2050,automne,42,38,56,65
75056,Paris,commune,R5,saisonnier,2100,hiver,1,0,3,8
75056,Paris,commune,R5,saisonnier,2100,printemps,4,2,6,13
75056,Paris,commune,R5,saisonnier,2100,été,52,50,62,80
75056,Paris,commune,R5,saisonnier,2100,automne,42,38,59,66
75056,Paris,commune,S1,annuel,2030,,1,1,2,5
75056,Paris,commune,S1,annuel,2050,,1,2,4,6
75056,Paris,commune,S1,annuel,2100,,1,5,8,12
75056,Paris,commune,S2,annuel,2030,,8,12,17,22
75056,Paris,commune,S2,annuel,2050,,8,20,26,31
75056,Paris,commune,S2,annuel,2100,,8,33,43,50
75056,Paris,commune,S3,annuel,2030,,2,2,7,11
75056,Paris,commune,S3,annuel,2050,,2,9,11,14
75056,Paris,commune,S3,annuel,2100,,2,13,19,27
75056,Paris,commune,S4,annuel,2030,,3,1,2,3
75056,Paris,commune,S4,annuel,2050,,3,0,1,2
75056,Paris,commune,S4,annuel,2100,,3,0,1,3
75056,Paris,commune,AG1,saisonnier,2030,hiver,14,12,14,16
75056,Paris,commune,AG1,saisonnier,2030,printemps,15,13,14,17
75056,Paris,commune,AG1,saisonnier,2030,été,17,14,18,22
75056,Paris,commune,AG1,saisonnier,2030,automne,16,14,16,18
75056,Paris,commune,AG1,saisonnier,2050,hiver,14,12,13,16
75056,Paris,commune,AG1,saisonnier,2050,printemps,15,13,15,17
75056,Paris,commune,AG1,saisonnier,2050,été,17,16,19,26
75056,Paris,commune,AG1,saisonnier,2050,automne,16,15,17,22
75056,Paris,commune,AG1,saisonnier,2100,hiver,14,11,13,18
75056,Paris,commune,AG1,saisonnier,2100,printemps,15,14,15,18
75056,Paris,commune,AG1,saisonnier,2100,été,17,16,21,28
75056,Paris,commune,AG1,saisonnier,2100,automne,16,15,18,21
75056,Paris,commune,AG2,annuel,2030,,11/02,02/02,04/02,06/02
75056,Paris,commune,AG2,annuel,2050,,11/02,29/01,02/02,04/02
75056,Paris,commune,AG2,annuel,2100,,11/02,27/01,29/01,31/01
75056,Paris,commune,AG3,annuel,2030,,3416,3667,3768,3815
75056,Paris,commune,AG3,annuel,2050,,3416,3861,3936,4046
75056,Paris,commune,AG3,annuel,2100,,3416,4186,4265,4346
75056,Paris,commune,AG4,annuel,2030,,13,13,17,21
75056,Paris,commune,AG4,annuel,2050,,13,19,21,25
75056,Paris,commune,AG4,annuel,2100,,13,22,27,33
75056,Paris,commune,T1,annuel,2030,,44,51,59,68
75056,Paris,commune,T1,annuel,2050,,44,66,73,78
75056,Paris,commune,T1,annuel,2100,,44,79,91,103
