#-----------------------------------------------------------------------------
# Date d'extraction : 09/05/2025
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : TRACC-2023
# Modele     : MAX de l’ensemble EXPLORE2  / ADAMONT / RCP8.5
# Niveau de réchauffement régional (RWL) :2.7°C
#-----------------------------------------------------------------------------
# Indices : 
#    TX30D : Nombre de jours avec une température maximale ≥ 30 °C 
#     Moyenne temporelle sur la période autour du niveau de réchauffement 
#     Valeur absolue
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;RWL;TX30D;
#-----------------------------------------------------------------------------                     
Point;Latitude;Longitude;RWL;Value
14510;48.8234;2.2821;RWL-27;20 days 21:35:59.967041017
14653;48.8953;2.282;RWL-27;22 days 18:00:00
14511;48.8234;2.391;RWL-27;22 days 07:11:59.934082027
14654;48.8953;2.391;RWL-27;20 days 16:48:00.065917972
14259;48.6205;6.08;RWL-27;14 days 14:24:00.032958982
14402;48.6923;6.0852;RWL-27;15 days 13:12:00.016479495
14545;48.7642;6.0904;RWL-27;17 days 19:11:59.934082027
14260;48.617;6.1884;RWL-27;16 days 10:48:00.065917972
14403;48.6889;6.1937;RWL-27;17 days 14:24:00.032958982
14546;48.7607;6.199;RWL-27;17 days 07:11:59.934082027
14261;48.6135;6.2967;RWL-27;17 days 10:48:00.065917972
